learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
3.64E7,213.734375,0.0010455141891401992,3.64E7,99.10622252747253,98.16791027614167,98.16772103830887,97.88143457228404,3.64E7,2.6834128E7,10869.0,6716.0,6716.0,15.0,3927.985598559856,0.0,1.019663341882081
3.65E7,214.4375,0.001050404219099114,3.65E7,99.10772328767123,98.1709869463356,98.17081085209972,97.88499287953685,3.65E7,2.6883224E7,10879.0,6721.0,6721.0,15.0,3927.985598559856,0.0,1.019663341882081
3.66E7,215.15625,0.001055413076214286,3.66E7,99.10907103825136,98.17375056017579,98.17358871949065,97.88819081719204,3.66E7,2.6937864E7,10891.0,6730.0,6730.0,15.0,3927.985598559856,0.0,1.019663341882081
3.67E7,215.84375,0.0010602070097552826,3.67E7,99.11059673024522,98.17688313707727,98.17672247975707,97.89182943511457,3.67E7,2.6953904E7,10919.0,6750.0,6750.0,15.0,3927.985598559856,0.0,1.019663341882081
3.68E7,216.546875,0.001065121185707136,3.68E7,99.1120625,98.17988463597543,98.17971245717175,97.8952893556047,3.68E7,2.7015968E7,10944.0,6767.0,6767.0,15.0,3927.985598559856,0.0,1.019663341882081
3.69E7,217.265625,0.00107015517313913,3.69E7,99.11344444444444,98.18271672616581,98.18252344895814,97.89856150525998,3.69E7,2.7073016E7,10976.0,6786.0,6786.0,15.0,3927.985598559856,0.0,1.019663341882081
3.7E7,218.453125,0.0010784830095427532,3.7E7,99.11488648648648,98.1856744712247,98.18548356936013,97.90198783020716,3.7E7,2.7108216E7,10997.0,6798.0,6798.0,15.0,3910.629008531921,0.0,1.0197017384895894
3.71E7,219.15625,0.001083421618160275,3.71E7,99.11640700808626,98.18879182254997,98.18857841757435,97.90559261264468,3.71E7,2.7150288E7,11019.0,6812.0,6812.0,15.0,3910.629008531921,0.0,1.0197017384895894
3.72E7,219.84375,0.001088253355507429,3.72E7,99.11771236559139,98.19146589873095,98.19122916628433,97.90867911770114,3.72E7,2.7166456E7,11037.0,6824.0,6824.0,15.0,3910.629008531921,0.0,1.0197017384895894
3.73E7,220.578125,0.0010934212260245765,3.73E7,99.1191528150134,98.19441323765369,98.19417226528996,97.9120691826785,3.73E7,2.7201704E7,11052.0,6833.0,6833.0,15.0,3910.629008531921,0.0,1.0197017384895894
3.74E7,221.28125,0.001098385492579029,3.74E7,99.12057486631016,98.19732577442335,98.19708484727393,97.91542800036432,3.74E7,2.7291344E7,11058.0,6836.0,6836.0,15.0,3910.629008531921,0.0,1.0197017384895894
3.75E7,222.0,0.001103461191814859,3.75E7,99.12190933333333,98.20006751096693,98.19981120333846,97.918618385959,3.75E7,2.7297344E7,11074.0,6844.0,6844.0,15.0,3910.629008531921,0.0,1.0197017384895894
3.76E7,222.71875,0.0011085464514002934,3.76E7,99.12326861702128,98.20285706993803,98.20260203985103,97.92185531454025,3.76E7,2.734876E7,11093.0,6858.0,6858.0,15.0,3910.629008531921,0.0,1.0197017384895894
3.77E7,223.4375,0.0011136411419202994,3.77E7,99.12466047745359,98.20570660928921,98.20544635554212,97.92514063488989,3.77E7,2.739948E7,11112.0,6869.0,6869.0,15.0,3910.629008531921,0.0,1.0197017384895894
3.78E7,224.140625,0.0011186309194373388,3.78E7,99.12603174603176,98.20851855738658,98.20824328493939,97.92839804706556,3.78E7,2.7431592E7,11139.0,6887.0,6887.0,15.0,3910.629008531921,0.0,1.0197017384895894
